id,datetime,latitude,longitude,magnitude,location,location-broad
10159,13/07/2022 16:01,33.3111667,-116.3316667,19,California,North America
10160,13/07/2022 16:05,-16.8493,-71.5916,58,Peru,South America
10161,13/07/2022 16:08,36.9828333,-121.464,14,California,North America
10162,13/07/2022 16:29,18.08916667,-64.98983333,14,U.S. Virgin Islands,Central America
10163,13/07/2022 16:59,19.23683333,-155.425,13,Hawaii,North America
10164,13/07/2022 17:07,-24.2002,-66.8062,26,Argentina,South America
10165,13/07/2022 17:49,24.6041,141.6521,42,Japan,Asia
10166,13/07/2022 17:56,-17.0022,-71.4194,53,Peru,South America
10167,13/07/2022 18:26,40.6362,-126.6788,13,California,North America
10168,13/07/2022 18:45,19.15049934,-155.4934998,6,Hawaii,North America
10169,13/07/2022 19:02,38.6668333,-119.7106667,6,California,North America
10170,13/07/2022 19:18,41.1439,20.2039,34,Albania,Europe
10171,13/07/2022 19:52,38.7341,-116.1371,32,Nevada,North America
10172,13/07/2022 20:10,18.85316667,-155.228,11,Hawaii,North America
10173,13/07/2022 20:22,62.7076,-151.7718,8,Alaska,North America
10174,13/07/2022 20:24,19.7681,-65.6286,26,Puerto Rico,Central America
10175,13/07/2022 20:34,34.1846,140.3605,38,Japan,Asia
10176,13/07/2022 20:43,17.9765,-66.6705,6,Puerto Rico,Central America
10177,13/07/2022 20:48,-21.4378,-176.5417,40,Tonga,Oceania
10178,13/07/2022 21:13,17.94233333,-66.985,7,Puerto Rico,Central America
10179,13/07/2022 21:17,34.7325,137.0061,38,Japan,Asia
10180,13/07/2022 21:21,-33.2409,-73.1693,55,Chile,South America
10181,13/07/2022 21:46,17.94583333,-66.98683333,6,Puerto Rico,Central America
10182,13/07/2022 23:41,22.7803,121.3981,42,Taiwan,Asia
10183,13/07/2022 23:41,38.7065,-116.0875,9,Nevada,North America
10184,13/07/2022 23:48,46.456,-122.306,8,Washington,North America
10185,13/07/2022 23:59,16.315,145.6264,47,Northern Mariana Islands,Oceania
10186,14/07/2022 00:26,38.7367,-116.0825,11,Nevada,North America
10187,14/07/2022 00:33,27.634,55.9372,36,Iran,Middle East
10188,14/07/2022 00:46,31.74062973,-104.1140204,8,Texas,North America
